time_period,time_identifier,geographic_level,country_code,country_name,age_band,graduate_type,employment_proportion_part_time,employment_accuracy,employment_suppression
2019,Calendar year,National,E92000001,England,21-30,Graduate,14.5,0,0
2019,Calendar year,National,E92000001,England,21-30,Non-graduate,22.1,0,0
2019,Calendar year,National,E92000001,England,21-30,Postgraduate,9.6,0,0
2020,Calendar year,National,E92000001,England,16-64,Graduate,19.4,0,0
2020,Calendar year,National,E92000001,England,16-64,Non-graduate,27.0,0,0
2020,Calendar year,National,E92000001,England,16-64,Postgraduate,19.5,0,0
2020,Calendar year,National,E92000001,England,21-30,Graduate,13.9,0,0
2020,Calendar year,National,E92000001,England,21-30,Non-graduate,20.7,0,0
2020,Calendar year,National,E92000001,England,21-30,Postgraduate,9.4,0,0
2021,Calendar year,National,E92000001,England,16-64,Graduate,18.8,0,0
2021,Calendar year,National,E92000001,England,16-64,Non-graduate,26.5,0,0
2021,Calendar year,National,E92000001,England,16-64,Postgraduate,17.6,0,0
2021,Calendar year,National,E92000001,England,21-30,Graduate,13.3,0,0
2021,Calendar year,National,E92000001,England,21-30,Non-graduate,21.4,0,0
2021,Calendar year,National,E92000001,England,21-30,Postgraduate,9.1,0,0
2022,Calendar year,National,E92000001,England,16-64,Graduate,19.2,0,0
2022,Calendar year,National,E92000001,England,16-64,Non-graduate,27.0,0,0
2022,Calendar year,National,E92000001,England,16-64,Postgraduate,19.5,0,0
2022,Calendar year,National,E92000001,England,21-30,Graduate,14.5,0,0
2022,Calendar year,National,E92000001,England,21-30,Non-graduate,21.3,0,0
2022,Calendar year,National,E92000001,England,21-30,Postgraduate,10.5,0,0
2023,Calendar year,National,E92000001,England,16-64,Graduate,19.9,0,0
2023,Calendar year,National,E92000001,England,16-64,Non-graduate,27.7,0,0
2023,Calendar year,National,E92000001,England,16-64,Postgraduate,19.0,0,0
2023,Calendar year,National,E92000001,England,21-30,Graduate,13.4,0,0
2023,Calendar year,National,E92000001,England,21-30,Non-graduate,22.4,0,0
2023,Calendar year,National,E92000001,England,21-30,Postgraduate,10.0,2,0
2024,Calendar year,National,E92000001,England,16-64,Graduate,18.6,0,0
2024,Calendar year,National,E92000001,England,16-64,Non-graduate,27.2,0,0
2024,Calendar year,National,E92000001,England,16-64,Postgraduate,18.2,0,0
2024,Calendar year,National,E92000001,England,21-30,Graduate,13.4,0,0
2024,Calendar year,National,E92000001,England,21-30,Non-graduate,22.8,0,0
2024,Calendar year,National,E92000001,England,21-30,Postgraduate,10.5,0,0
